"source","target","weight"
"Dudek Wiesław A.","Dudek Wiesław A.","58"
"Dudek Wiesław A.","Marczak Adam W.","1"
"Narbudowicz A.","Narbudowicz A.","33"
"Ksepko Ewelina","Ksepko Ewelina","18"
"Trocka-Leszczyńska Elżbieta","Trocka-Leszczyńska Elżbieta","2"
"Trocka-Leszczyńska Elżbieta","Jabłońska Joanna","2"
"Jabłońska Joanna","Trocka-Leszczyńska Elżbieta","2"
"Jabłońska Joanna","Jabłońska Joanna","2"
"Mielczarek Bo̊zena","Dobrowolski Wiesław","1"
"Mielczarek Bo̊zena","Zabawa Jacek","8"
"Mielczarek Bo̊zena","Mielczarek Bo̊zena","12"
"Mielczarek Bo̊zena","Uziałko-Mydlikowska Justyna","7"
"Mielczarek Bo̊zena","Hajłasz Maria","2"
"Gaweł Irena","Bociarska Dagmara","1"
"Gaweł Irena","Gawel Irena","1"
"Gaweł Irena","Gaweł Irena","9"
"Florek Jan","Florek Jan","10"
"Jaglarz Anna","Jaglarz Anna","3"
"Jaglarz Anna","Charytonowicz Jerzy","1"
"Iwanik Anzelm","Serafin Jacek","1"
"Iwanik Anzelm","Downarowicz Tomasz","1"
"Dymek Martyna","Dymek Martyna","11"
"Szafrańska Monika E.","Szafrańska Monika E.","6"
"Muciek Andrzej Konstanty","Muciek Andrzej Konstanty","4"
"Leicht Aleksander","Leicht Aleksander","9"
"Leicht Aleksander","Wilk Marcin J.","1"
"Leicht Aleksander","Wink Marcin","1"
"Leicht Aleksander","Makowski Krzysztof","10"
"Rudno-Rudziñska Barbara","Rudno-Rudziñska Barbara","3"
"Rudno-Rudziñska Barbara","Habrat Tomasz","3"
"Urbaś Aleksander","Urbaś Aleksander","1"
"Jurga Anna","Janiak Kamil","1"
"Jurga Anna","Jurga Anna","1"
"Jurga Anna","Kuźma Joanna","1"
"Marczak Adam W.","Marczak Adam W.","8"
"Juroszek Barbara K.","Juroszek Barbara K.","2"
"Miecznikowski Andrzej","Miecznikowski Andrzej","2"
"Łysakowska Barbara","Kazimierczak Jan","1"
"Stilger-Szydło Elzbieta","Stilger-Szydł Elzbieta","1"
"Stilger-Szydło Elzbieta","Batog Andrzej","1"
"Batog Andrzej","Stilger-Szydł Elzbieta","1"
"Batog Andrzej","Batog Andrzej","2"
"Batog Andrzej","Hawrysz Maciej","1"
"Vasil'ev A. Yu","Vasil'ev A. Yu","1"
"Kuźma Joanna","Janiak Kamil","1"
"Kuźma Joanna","Jurga Anna","1"
"Kuźma Joanna","Kuźma Joanna","1"
"Golenko Andrzej","Golenko Andrzej","1"
"Świa̧tek-Tran Beata","Świa̧tek-Tran Beata","2"
"Szpaczyński Janusz A.","Szpaczyński Janusz A.","1"
"Brycz Bogumiła","Kowalski Michał J.","1"
"Brycz Bogumiła","Praźników Jadwiga","1"
"Sambor Aleksandra","Sambor Aleksandra","1"
"Grzybowska Dorota","Grzybowska Dorota","1"
"Czemplik Anna","Czemplik Anna","1"
"Włodarczyk Katarzyna","Kowalski Michał J.","1"
"Włodarczyk Katarzyna","Praźników Jadwiga","1"
"Barycza Barbara","Barycza Barbara","1"
"Da̧browska-Kauf Grazyna","Da̧browska-Kauf Grazyna","1"
"Nowaczyk Emilia","Nowaczyk Emilia","2"
"Olszak Karina","Słuka Karina","1"
"Kubicka Anna","Kubicka Anna","1"
"Mosińska Sylwia","Mosinłska Sylwia","1"
"Mosińska Sylwia","Mosińska Sylwia","1"
"Frej Paulina","Frej Bartosz","3"
"Frej Paulina","Frej Paulina","2"
"Frej Paulina","Downarowicz Tomasz","3"
"Wełyczko Joanna","Olszak Zbigniew","1"
"Wełyczko Joanna","Wełyczko Joanna","2"
"Kałwak Andrzej","Kałwak Andrzej","2"
