source;target;weight
36987882300;57205332617;1
36987882300;57197016232;1
36987882300;55258947900;14
36987882300;6603090292;68
36987882300;35389104100;2
36987882300;6507948314;1
36987882300;36118405800;2
36987882300;57215998247;1
36987882300;6602362557;2
36987882300;7004885730;44
36987882300;25651157100;5
36987882300;56107200800;11
36987882300;41261688600;10
36987882300;6506370505;1
36987882300;35614828300;1
36987882300;6602612182;46
36987882300;23007665400;7
36987882300;16640346500;1
36987882300;56014445700;3
36987882300;55942283500;2
36987882300;55914639700;8
36987882300;7004657104;1
36987882300;6507267560;1
36987882300;57211004572;1
36987882300;7401869655;5
36987882300;57204053924;77
36987882300;36987882300;73
36987882300;23034910700;2
36987882300;55196150500;9
36987882300;36348541000;8
36987882300;6701804423;7
36987882300;7004155017;2
36987882300;36117556900;3
36987882300;7003709876;1
36987882300;23009441800;93
36987882300;6507845763;1
36987882300;6506213586;1
36987882300;57195109945;1
36987882300;55258754000;10
36987882300;30567870700;1
36987882300;55789105500;1
36987882300;57193351164;2
36987882300;7401913014;2
36987882300;36149055300;29
36987882300;7004852164;1
36987882300;56708823500;7
36987882300;36570629500;3
36987882300;35790939500;2
36987882300;57210998082;1
36987882300;36117646300;4
36987882300;41262737900;30
36987882300;55258457400;30
36987882300;41262776800;14
36987882300;41260916600;9
36987882300;56240460400;2
7006404110;6602726468;41
7006404110;7003930990;61
7006404110;22993682400;1
7006404110;8247907800;3
7006404110;57195203407;1
7006404110;6506784572;2
7006404110;57191498834;2
7006404110;56247607100;2
7006404110;35180909200;1
7006404110;8634575000;6
7006404110;57210136914;12
7006404110;7005173743;1
7006404110;55744247200;2
7006404110;6505960291;1
7006404110;8415115800;1
7006404110;57189568286;2
7006404110;55966363400;3
7006404110;40261165700;2
7006404110;57189566337;3
7006404110;9845493300;1
7006404110;26655749700;1
7006404110;40661805800;5
7006404110;7005571472;13
7006404110;24524841500;2
7006404110;55551276500;2
7006404110;6603410628;23
7006404110;55578808007;1
7006404110;6507965162;1
7006404110;56179204800;1
7006404110;51360922400;26
7006404110;7003549867;2
7006404110;57195416371;2
7006404110;55701774900;1
7006404110;7007035077;42
7006404110;12785224000;1
7006404110;31367767100;1
7006404110;7003961190;48
7006404110;7004736847;103
7006404110;6603423215;8
7006404110;7006335493;3
7006404110;26535124100;33
7006404110;8937758100;1
7006404110;44461813700;17
7006404110;7006709886;5
7006404110;7004935265;20
7006404110;6701655429;2
7006404110;6603385001;2
7006404110;25923462200;3
7006404110;8502904600;1
7006404110;6506676850;1
7006404110;6701457042;1
7006404110;7003281824;2
7006404110;7006404110;165
7006404110;57209355806;35
7006404110;14523645200;1
7006404110;7801695889;2
7006404110;57157176200;1
7004416503;57202804300;1
7004416503;6603952345;2
7004416503;6507270884;2
7004416503;55932273900;20
7004416503;7004416503;160
7004416503;55875008000;3
7004416503;57197962563;2
7004416503;25627989900;2
7004416503;14021021100;11
7004416503;57191189949;2
7004416503;35222272100;7
7004416503;7004173659;8
7004416503;6602106460;36
7004416503;7103360092;4
7004416503;9636015400;19
7004416503;25627671800;5
7004416503;6701724825;3
7004416503;57194544425;1
7004416503;56444404000;8
7004416503;6603896124;2
6701726588;57203150993;1
6701726588;24724572100;1
6701726588;57193006071;3
6701726588;37116792700;35
6701726588;36473455800;13
6701726588;56247607100;1
6701726588;56403363400;3
6701726588;6602688391;3
6701726588;24756009200;1
6701726588;7003857516;7
6701726588;41262386500;5
6701726588;25422643500;6
6701726588;35178662000;12
6701726588;56925587600;1
6701726588;57192982454;3
6701726588;56527105500;2
6701726588;23570412800;11
6701726588;56526934300;16
6701726588;8914642700;3
6701726588;6504160320;3
6701726588;57191383410;1
6701726588;56845689000;2
6701726588;56340209800;7
6701726588;24460394400;22
6701726588;22035474900;1
6701726588;57196373232;2
6701726588;6603433824;3
6701726588;55002116500;2
6701726588;6602454565;60
6701726588;6602491059;5
6701726588;6504748695;1
6701726588;48861012100;10
6701726588;6603425952;2
6701726588;7005019426;39
6701726588;57204343054;1
6701726588;56102178800;2
6701726588;57196369787;2
6701726588;12799556500;2
6701726588;6701726588;92
22958525100;6602213195;2
22958525100;56017028400;1
22958525100;22958240900;6
22958525100;35410461200;4
22958525100;57203896983;3
22958525100;57194178054;8
22958525100;35249089900;2
22958525100;7006035829;26
22958525100;34969628900;2
22958525100;57210798580;1
22958525100;56470764800;5
22958525100;55448292800;3
22958525100;46462274400;24
22958525100;56214877700;21
22958525100;56804909200;17
22958525100;12767490200;10
22958525100;36811800500;3
22958525100;23988245800;53
22958525100;24080125100;56
22958525100;22958525100;135
22958525100;35175155400;11
22958525100;55169379800;4
22958525100;12144184200;2
7005144048;25930368900;5
7005144048;6505780078;4
7005144048;36519616200;1
7005144048;7003762575;19
7005144048;24448200700;2
7005144048;36473455800;1
7005144048;15761056800;20
7005144048;35243578500;1
7005144048;55962352400;2
7005144048;6506742322;11
7005144048;15758629800;1
7005144048;6506824052;20
7005144048;56022539500;1
7005144048;7003857516;42
7005144048;6603454430;3
7005144048;35178662000;1
7005144048;54393405600;11
7005144048;6701364456;4
7005144048;56721329700;2
7005144048;6701314748;3
7005144048;37111235200;1
7005144048;25930245600;5
7005144048;36551061200;5
7005144048;7004581056;1
7005144048;24079600800;7
7005144048;7004734251;25
7005144048;15834577200;2
7005144048;6701313182;1
7005144048;55392594900;2
7005144048;8914642700;4
7005144048;56720970200;2
7005144048;54394371900;12
7005144048;57216065855;4
7005144048;55837423900;1
7005144048;35744744700;2
7005144048;35744843700;2
7005144048;25930686700;2
7005144048;7102118839;2
7005144048;57198414439;1
7005144048;56976817700;2
7005144048;56205803300;2
7005144048;57210174425;1
7005144048;57210173955;1
7005144048;57188996180;7
7005144048;23994398100;2
7005144048;22035474900;1
7005144048;56976796600;1
7005144048;24342029500;5
7005144048;6602454565;1
7005144048;6701575862;1
7005144048;6602491059;8
7005144048;12779994000;4
7005144048;7005211364;5
7005144048;6504748695;2
7005144048;57211928915;2
7005144048;6603425952;1
7005144048;56925555100;2
7005144048;24342540900;5
7005144048;6701904050;7
7005144048;55397962500;24
7005144048;56944698400;1
7005144048;7004497739;8
7005144048;7102726095;1
7005144048;7103087073;2
7005144048;57197580444;2
7005144048;6701726588;3
7005144048;6506627823;2
7005144048;57076755000;1
7004062643;55603298500;1
7004062643;6504717574;1
7004062643;36657415400;1
7004062643;57201806523;2
7004062643;12778634000;30
7004062643;7003762575;5
7004062643;35603024500;3
7004062643;7003631065;59
7004062643;56034359400;1
7004062643;56247607100;2
7004062643;55645026000;1
7004062643;7003271102;1
7004062643;6602688391;1
7004062643;55900794000;1
7004062643;23091238100;4
