source;target;weight
Chojnacka Katarzyna W.;Saeid Agnieszka;78
Chojnacka Katarzyna W.;Hull Sylwia;1
Chojnacka Katarzyna W.;Wilk RadosŁaw;14
Chojnacka Katarzyna W.;Górecka Helena;68
Chojnacka Katarzyna W.;Mikołajewska Dorota;2
Chojnacka Katarzyna W.;Bezak Katarzyna;1
Chojnacka Katarzyna W.;Popko Małgorzata;2
Chojnacka Katarzyna W.;Jagiełło Monika;1
Chojnacka Katarzyna W.;Biskupski Andrzej;2
Chojnacka Katarzyna W.;Chojnacki Andrzej;44
Chojnacka Katarzyna W.;Woźniak Barbara;5
Chojnacka Katarzyna W.;Dmytryk Agnieszka;11
Chojnacka Katarzyna W.;Labuda MaŁgorzata;10
Chojnacka Katarzyna W.;Prusisz Bartłomiej;1
Chojnacka Katarzyna W.;Pohl Pawel;1
Chojnacka Katarzyna W.;Chojnacka Katarzyna;46
Chojnacka Katarzyna W.;Barańska Marzanna;7
Chojnacka Katarzyna W.;Szymkowski Janusz;1
Chojnacka Katarzyna W.;Chojnacka Maciej Janeczek;3
Chojnacka Katarzyna W.;Zielińjska Agnieszka;2
Chojnacka Katarzyna W.;Szafran Roman Grzegorz;8
Chojnacka Katarzyna W.;Bryjak Jolanta;1
Chojnacka Katarzyna W.;Gołab Z.;1
Chojnacka Katarzyna W.;Mikula Katarzyna;1
Chojnacka Katarzyna W.;Hoffmann Józef;5
Chojnacka Katarzyna W.;Chojnacka Katarzyna W.;73
Chojnacka Katarzyna W.;Kobielarz Magdalena;2
Chojnacka Katarzyna W.;Dawiec-Liśniewska Anna;9
Chojnacka Katarzyna W.;Modelski Szymon Z.;8
Chojnacka Katarzyna W.;Noworyta Andrzej W.;7
Chojnacka Katarzyna W.;Matynia Andrzej;2
Chojnacka Katarzyna W.;Biegańska Sylwia;3
Chojnacka Katarzyna W.;Steininger MieczysŁaw;1
Chojnacka Katarzyna W.;Michalak Izabela;93
Chojnacka Katarzyna W.;Mironiuk Małgorzata;1
Chojnacka Katarzyna W.;Sówka Izabela;1
Chojnacka Katarzyna W.;Skrzypczak Dawid;1
Chojnacka Katarzyna W.;Podstawczyk Daria Anna;10
Chojnacka Katarzyna W.;Skut Jakub;1
Chojnacka Katarzyna W.;Wotowlec Paulina;1
Chojnacka Katarzyna W.;Mitek M.;2
Chojnacka Katarzyna W.;Hoffmann Krystyna;2
Chojnacka Katarzyna W.;Witek-Krowiak Anna;29
Chojnacka Katarzyna W.;Witek Anna;1
Chojnacka Katarzyna W.;Wyciszkiewicz Małgorzata;7
Chojnacka Katarzyna W.;Pokomeda Karol;3
Chojnacka Katarzyna W.;Kania Małgorzata;2
