source;target;weight
Chojnacka Katarzyna W.;Wilk RadosŁaw;8
Chojnacka Katarzyna W.;Górecka Helena;2
Chojnacka Katarzyna W.;Popko Małgorzata;2
Chojnacka Katarzyna W.;Dmytryk Agnieszka;5
Chojnacka Katarzyna W.;Mikula Katarzyna;3
Chojnacka Katarzyna W.;Hoffmann Józef;1
Chojnacka Katarzyna W.;Saeid Agnieszka;15
Chojnacka Katarzyna W.;Chojnacka Katarzyna W.;73
Chojnacka Katarzyna W.;Dawiec-Liśniewska Anna;5
Chojnacka Katarzyna W.;Michalak Izabela;45
Chojnacka Katarzyna W.;Mironiuk Małgorzata;8
Chojnacka Katarzyna W.;Sówka Izabela;1
Chojnacka Katarzyna W.;Skrzypczak Dawid;4
Chojnacka Katarzyna W.;Podstawczyk Daria Anna;7
Chojnacka Katarzyna W.;Witek-Krowiak Anna;16
Chojnacka Katarzyna W.;Wyciszkiewicz Małgorzata;7
Chojnacka Katarzyna W.;Pokomeda Karol;1
Chojnacka Katarzyna W.;Witkowska Zuzanna;7
Chojnacka Katarzyna W.;Tuhy Łukasz;19
Chojnacka Katarzyna W.;WoŁowiec Paulina;4
Chojnacka Katarzyna W.;Baśladyńska Sylwia;6
Hull Sylwia;Hull Sylwia;1
Hull Sylwia;Chomiak Maciej;1
Hull Sylwia;Trawczyński Janusz T.;1
Wilk RadosŁaw;Wilk RadosŁaw;5
Wilk RadosŁaw;Popko Małgorzata;1
Wilk RadosŁaw;Saeid Agnieszka;1
Wilk RadosŁaw;Michalak Izabela;14
Wilk RadosŁaw;Tuhy Łukasz;2
Wilk RadosŁaw;Baśladyńska Sylwia;1
Górecka Helena;Górecka Helena;19
Górecka Helena;Chojnacka Katarzyna;6
Górecka Helena;Barańska Marzanna;4
Górecka Helena;Hoffmann Józef;2
Górecka Helena;Saeid Agnieszka;25
Górecka Helena;Biegańska Sylwia;1
Górecka Helena;Artmańska Małgorzata;3
Górecka Helena;Baśladyńska Sylwia;3
Górecka Helena;Sadowski Zygmunt;1
Popko Małgorzata;Popko Małgorzata;1
Popko Małgorzata;Szymczycha Anna;1
Popko Małgorzata;Wełna Maja;1
Popko Małgorzata;Pohl Pawel;1
Popko Małgorzata;Michalak Izabela;1
Biskupski Andrzej;Popławski Dariusz;1
Biskupski Andrzej;Biskupski Andrzej;23
Biskupski Andrzej;Teterycz Helena;1
Biskupski Andrzej;Głowiński Józef;1
Biskupski Andrzej;Hoffmann Józef;2
Biskupski Andrzej;Hoffmann Krystyna;1
Chojnacki Andrzej;Chojnacki Andrzej;1
Chojnacki Andrzej;Sadowski Zygmunt;1
Woźniak Barbara;Chmielewski Tomasz;4
Woźniak Barbara;Apostoluk Wiesław S.;1
Woźniak Barbara;Pilśniak Magdalena Rabiega;1
Woźniak Barbara;Gibas Krzysztof;1
Woźniak Barbara;Woźniak Barbara;3
Woźniak Barbara;Ochromowicz Katarzyna;1
Woźniak Barbara;Trochimczuk Andrzej W.;1
Dmytryk Agnieszka;Dmytryk Agnieszka;1
Dmytryk Agnieszka;Labus Karolina;1
Dmytryk Agnieszka;Bryjak Jolanta;3
Dmytryk Agnieszka;Saeid Agnieszka;2
Dmytryk Agnieszka;Michalak Izabela;11
Dmytryk Agnieszka;Witek-Krowiak Anna;2
Dmytryk Agnieszka;Tuhy Łukasz;1
Dmytryk Agnieszka;Baśladyńska Sylwia;1
Labuda MaŁgorzata;Labuda MaŁgorzata;3
Labuda MaŁgorzata;Hoffmann Józef;1
Labuda MaŁgorzata;Saeid Agnieszka;11
Prusisz Bartłomiej;Prusisz Bartłomiej;15
Prusisz Bartłomiej;Pohl Pawel;40
Prusisz Bartłomiej;Żyrnicki Wieslław;2
Prusisz Bartłomiej;Zyrnicki Wieslaw;1
Pohl Pawel;Cyganowski Piotr;15
Pohl Pawel;Tylus W.;2
Pohl Pawel;Chȩcmanowski Jacek Grzegorz;1
Pohl Pawel;Koźlecki Tomasz;3
Pohl Pawel;Nowak Piotr;2
Pohl Pawel;Jermakowicz-Bartkowiak Dorota;11
Pohl Pawel;MacIoszczyk Jan;4
Pohl Pawel;Jamróz Piotr;61
Pohl Pawel;Gorska Monika;1
Pohl Pawel;Kafarski Paweł;1
Pohl Pawel;Szymczycha Anna;42
Pohl Pawel;Swiderski Krzysztof;6
Pohl Pawel;Wełna Maja;44
Pohl Pawel;Polowczyk Izabela;1
Pohl Pawel;Jedryczko Dominika;8
Pohl Pawel;Nyk Marcin;5
Pohl Pawel;Grȩda Krzysztof;25
Pohl Pawel;Pohl Pawel;117
Pohl Pawel;Szczygieł Bogdan;2
Pohl Pawel;Ochromowicz Katarzyna;1
Pohl Pawel;Lasowska Joanna;1
Pohl Pawel;Pogoda Dorota;2
Pohl Pawel;Malik-Gajewska Magdalena;1
Pohl Pawel;Les̈niewicz Anna;9
Pohl Pawel;Wolska Joanna A.;2
Pohl Pawel;Winiarska Katarzyna;1
Pohl Pawel;Winiarski Juliusz;3
Pohl Pawel;Terefinko Dominik;4
Pohl Pawel;Stecka Helena;11
Pohl Pawel;Kurcbach Konrad;2
Pohl Pawel;Bojszczak Wojciech;1
Pohl Pawel;Cierlik Agata;1
Pohl Pawel;Stelmach Ewelina;10
Pohl Pawel;Żyrnicki Wieslław;8
Pohl Pawel;Dzimitrowicz Anna;35
Pohl Pawel;Borkowska-Burnecka Jolanta;2
Chojnacka Katarzyna;Chojnacka Katarzyna;5
Barańska Marzanna;Barańska Marzanna;4
Barańska Marzanna;Biegańska Sylwia;1
Barańska Marzanna;Artmańska Małgorzata;3
Barańska Marzanna;Baśladyńska Sylwia;2
Szafran Roman Grzegorz;Koźlecki Tomasz;1
Szafran Roman Grzegorz;Ludwig Wojciech;13
Szafran Roman Grzegorz;Kmiec̀ Andrzej;10
Szafran Roman Grzegorz;Szafran Roman Grzegorz;18
Szafran Roman Grzegorz;Englart Sebastian;1
Szafran Roman Grzegorz;Modelski Szymon Z.;7
Szafran Roman Grzegorz;Witek Joanna;1
Szafran Roman Grzegorz;Patronik Piotr;2
Szafran Roman Grzegorz;Witek-Krowiak Anna;18
Szafran Roman Grzegorz;Witek Anna;1
Szafran Roman Grzegorz;Pokomeda Karol;1
Bryjak Jolanta;Herman Artur P.;1
Bryjak Jolanta;Hrydziuszko Zofia;3
Bryjak Jolanta;Peczyńska-Czoch Wanda;3
Bryjak Jolanta;Tylus W.;3
Bryjak Jolanta;Greb-Markiewicz Beata;1
Bryjak Jolanta;Gancarz Irena S.;6
Bryjak Jolanta;Koźlecki Tomasz;1
Bryjak Jolanta;Pawłów Barbara;6
Bryjak Jolanta;Bartkowiak Dorota;2
Bryjak Jolanta;Cieńska Małgorzata;2
Bryjak Jolanta;Al-Adhami Abdulkareem J.H.;1
Bryjak Jolanta;Wojaczyńska Maria;7
Bryjak Jolanta;Sołoducho Jadwiga;9
Bryjak Jolanta;Turek Anna;1
Bryjak Jolanta;Wojciechowski Piotr M.;2
Bryjak Jolanta;Rekuć Adriana;6
Bryjak Jolanta;Bachmann Katarzyna;1
Bryjak Jolanta;Trochimczuk Witold M.;1
Bryjak Jolanta;Maliszewska Irena H.;1
Bryjak Jolanta;Jolanta Bryjak;1
Bryjak Jolanta;Labus Karolina;10
Bryjak Jolanta;Jastrzembska Bogna;2
Bryjak Jolanta;Kolarz Boz̊ena N.;23
Bryjak Jolanta;Karolina Zynek;1
Bryjak Jolanta;Noworyta Andrzej;11
Bryjak Jolanta;Lewańczuk Marcin;4
Bryjak Jolanta;Poźniak Gryzelda;4
Bryjak Jolanta;Bryjak Jolanta;66
Bryjak Jolanta;Majewska Paulina;1
Bryjak Jolanta;Irena Gancarz;1
Bryjak Jolanta;Hamerska-Dudra Agnieszka;1
Bryjak Jolanta;Trochimczuk Andrzej W.;10
Bryjak Jolanta;Feder-Kubis Joanna;12
Bryjak Jolanta;Kozioł Antoni;1
Bryjak Jolanta;Gontarczyk A.;1
Bryjak Jolanta;Cabaj Joanna;9
Bryjak Jolanta;Drewniak Marta;1
Bryjak Jolanta;Kruczkiewicz Paulina;2
Bryjak Jolanta;Bryjak M.;10
Bryjak Jolanta;Chyla Antoni T.;3
Gołab Z.;Gołab Z.;2
Mikula Katarzyna;Mikula Katarzyna;1
Mikula Katarzyna;Mironiuk Małgorzata;1
Mikula Katarzyna;Skrzypczak Dawid;1
Mikula Katarzyna;Witek-Krowiak Anna;1
Hoffmann Józef;Videnova-Adrabińska Veneta;1
Hoffmann Józef;Popławski Dariusz;4
Hoffmann Józef;Grzesiak Dawid;1
Hoffmann Józef;Rutkowski Piotr;1
Hoffmann Józef;Gryglewicz Graz̊yna;2
Hoffmann Józef;HaŁat Adam;1
Hoffmann Józef;Porwoł Marta;1
Hoffmann Józef;Klem-Marciniak Ewelina;4
Hoffmann Józef;Kȩdzior Renata;1
Hoffmann Józef;Borowiec Magdalena;1
Hoffmann Józef;Falewicz Piotr;1
Hoffmann Józef;Hoffmann Józef;40
Hoffmann Józef;Saeid Agnieszka;4
Hoffmann Józef;Skut Jakub;6
Hoffmann Józef;Gryglewicz Stanisław;2
Hoffmann Józef;Zaręba Jan K.;1
Hoffmann Józef;Huculak-Ma̧czka Marta;12
Hoffmann Józef;Hoffmann Krystyna;29
Hoffmann Józef;Klem Ewelina;1
Saeid Agnieszka;Saeid Agnieszka;40
Saeid Agnieszka;Michalak Izabela;32
Saeid Agnieszka;Witek-Krowiak Anna;11
Saeid Agnieszka;Wyciszkiewicz Małgorzata;7
Saeid Agnieszka;Witkowska Zuzanna;16
Saeid Agnieszka;Tuhy Łukasz;12
Saeid Agnieszka;Baśladyńska Sylwia;3
Kobielarz Magdalena;Pezowicz Celina A.;8
Kobielarz Magdalena;Komorowska MaŁgorzata;5
Kobielarz Magdalena;Filipiak Jarosław;2
Kobielarz Magdalena;Żak Małgorzata;3
Kobielarz Magdalena;Beogonekdziński Romuald;1
Kobielarz Magdalena;Walski Tomasz;1
Kobielarz Magdalena;Jankowski Ludomir J.;1
Kobielarz Magdalena;Gąsior-Głogowska Marlena;6
Kobielarz Magdalena;Kozuń Marta;4
Kobielarz Magdalena;Kobielarz Magdalena;11
Kobielarz Magdalena;Bartkowiak-Jowsa Magdalena;1
Kobielarz Magdalena;Ścigała Krzysztof;1
Kobielarz Magdalena;Olsztyńska-Janus Sylwia;3
Kobielarz Magdalena;Szotek Sylwia;8
Kobielarz Magdalena;Marciniak Monika;1
Dawiec-Liśniewska Anna;Dawiec-Liśniewska Anna;8
Dawiec-Liśniewska Anna;Michalak Izabela;7
Dawiec-Liśniewska Anna;Podstawczyk Daria Anna;10
Dawiec-Liśniewska Anna;Witek-Krowiak Anna;12
Dawiec-Liśniewska Anna;Pokomeda Karol;3
Modelski Szymon Z.;Modelski Szymon Z.;5
Modelski Szymon Z.;Witek Joanna;1
Modelski Szymon Z.;Witek-Krowiak Anna;15
Modelski Szymon Z.;Witek Anna;1
Modelski Szymon Z.;Pokomeda Karol;1
Noworyta Andrzej W.;Noworyta Andrzej W.;2
Matynia Andrzej;Stanclik Anna;8
Matynia Andrzej;Hutnik Nina;33
Matynia Andrzej;Chemiczny Wydział;1
Matynia Andrzej;Wawrzyniecki Krzysztof;2
Matynia Andrzej;Mazieńczuk Agata;8
Matynia Andrzej;Małasińska Monika;2
Matynia Andrzej;Ciesielski Tomasz;2
Matynia Andrzej;Matynia Andrzej;55
Matynia Andrzej;Bechtold Zdzisław;7
Matynia Andrzej;Wierzbowska Bogusława;40
Matynia Andrzej;Kozik Anna;8
Matynia Andrzej;Koralewska Joanna;17
Steininger MieczysŁaw;Walendziewski Jerzy;8
Steininger MieczysŁaw;Beran Elzbieta;1
Steininger MieczysŁaw;Stolarski Marek;6
Steininger MieczysŁaw;Pniak Barbara;1
Steininger MieczysŁaw;Steininger MieczysŁaw;2
Michalak Izabela;Rutkowski Piotr;2
Michalak Izabela;Niemczyk Katarzyna;2
Michalak Izabela;Ziółkowski Grzegorz;1
Michalak Izabela;Miller Urszula;1
Michalak Izabela;Arik Pelin;2
Michalak Izabela;Mokrzycki Jakub;2
Michalak Izabela;Szymczyk-Zió?kowska Patrycja;1
Michalak Izabela;Pacholska Paulina;1
Michalak Izabela;Łabowska Magdalena Beata;1
Michalak Izabela;Olsztyńska-Janus Sylwia;1
Michalak Izabela;Michalak Izabela;69
Michalak Izabela;Mironiuk Małgorzata;7
Michalak Izabela;Sówka Izabela;1
Michalak Izabela;Podstawczyk Daria Anna;3
Michalak Izabela;Witek-Krowiak Anna;14
Michalak Izabela;Witkowska Zuzanna;17
Michalak Izabela;Tuhy Łukasz;20
Michalak Izabela;WoŁowiec Paulina;6
Michalak Izabela;Baśladyńska Sylwia;5
Mironiuk Małgorzata;Mironiuk Małgorzata;1
Mironiuk Małgorzata;Skrzypczak Dawid;1
Mironiuk Małgorzata;Witek-Krowiak Anna;1
Mironiuk Małgorzata;Baśladyńska Sylwia;1
Sówka Izabela;Grzelka Agnieszka;4
Sówka Izabela;Zwoździak Anna B.;8
Sówka Izabela;Piekarska Katarzyna;1
Sówka Izabela;Miller Urszula;5
Sówka Izabela;Dabrowski Lukasz;1
Sówka Izabela;Chlebowska-Styś Anna;3
Sówka Izabela;Badura Marek;3
Sówka Izabela;Sobczyński Piotr;3
Sówka Izabela;Bezyk Yaroslav;3
Sówka Izabela;Skrȩtowicz Maria;6
Sówka Izabela;Rybak Justyna;9
Sówka Izabela;Szklarczyk Mirosław;2
Sówka Izabela;Sówka Izabela;28
Sówka Izabela;Kita Urszula;1
Sówka Izabela;Tuhy Łukasz;1
Skrzypczak Dawid;Skrzypczak Dawid;1
Skrzypczak Dawid;Witek-Krowiak Anna;1
Podstawczyk Daria Anna;Podstawczyk Daria Anna;13
Podstawczyk Daria Anna;Witek-Krowiak Anna;14
Podstawczyk Daria Anna;Pokomeda Karol;3
Podstawczyk Daria Anna;Sadowski Zygmunt;1
Skut Jakub;Skut Jakub;4
Skut Jakub;Hoffmann Krystyna;8
Wotowlec Paulina;WoŁowiec Paulina;1
Hoffmann Krystyna;Popławski Dariusz;3
Hoffmann Krystyna;Grzesiak Dawid;1
Hoffmann Krystyna;Rutkowski Piotr;1
Hoffmann Krystyna;Gryglewicz Graz̊yna;2
